|               wave | ion | NIST | Instr |           amplitude |       Source |
| 10076.400207398267 |  OH |    1 |    32 |  2.2337959795081055 | wavemodel.py |
| 10087.996241153774 |  OH |    1 |    32 |   17.57891948872129 | wavemodel.py |
| 10102.343246777784 |  OH |    1 |    32 |  0.3784751455521952 | wavemodel.py |
| 10109.144393691617 |  OH |    1 |    32 |   6.674503632082276 | wavemodel.py |
| 10129.551909665435 |  OH |    1 |    32 |  20.564283548548058 | wavemodel.py |
| 10138.198326784144 |  OH |    1 |    32 |  0.5190396116533947 | wavemodel.py |
| 10149.368619767616 |  OH |    1 |    32 |   0.298844932085109 | wavemodel.py |
|  10154.57014519526 |  OH |    1 |    32 |  1.4038842015370392 | wavemodel.py |
| 10158.523636924407 |  OH |    1 |    32 |    6.78594817725797 | wavemodel.py |
| 10164.051275183045 |  OH |    1 |    32 |   5.099609058783931 | wavemodel.py |
| 10169.947137363682 |  OH |    1 |    32 |  2.4263590725711826 | wavemodel.py |
| 10177.471900243088 |  OH |    1 |    32 |  26.881886938021687 | wavemodel.py |
| 10186.616951972122 |  OH |    1 |    32 |   6.645091773279506 | wavemodel.py |
|  10195.29329892009 |  OH |    1 |    32 |   27.77633996922173 | wavemodel.py |
| 10208.641971231991 |  OH |    1 |    32 |  10.997712068319423 | wavemodel.py |
| 10216.628828399971 |  OH |    1 |    32 |   35.04238996414578 | wavemodel.py |
| 10231.389895650093 |  OH |    1 |    32 |   8.955917774246963 | wavemodel.py |
| 10236.268898072703 |  OH |    1 |    32 |  12.645661064452717 | wavemodel.py |
| 10276.713361358474 |  OH |    1 |    32 |  2.2398311560553616 | wavemodel.py |
| 10292.239136013797 |  OH |    1 |    32 |   92.31044538881612 | wavemodel.py |
| 10298.195616609857 |  OH |    1 |    32 |  2.9138757510279722 | wavemodel.py |
| 10301.667617844381 |  OH |    1 |    32 |  30.943940783800265 | wavemodel.py |
| 10310.901870539765 |  OH |    1 |    32 |  1.1308760158390323 | wavemodel.py |
| 10315.170784946953 |  OH |    1 |    32 |  10.673120577870895 | wavemodel.py |
| 10328.439806273644 |  OH |    1 |    32 | 0.38120230920000997 | wavemodel.py |
| 10332.960036130615 |  OH |    1 |    32 |  2.9389721601968555 | wavemodel.py |
| 10345.699952046418 |  OH |    1 |    32 |  0.8830478129962225 | wavemodel.py |
| 10352.971450783665 |  OH |    1 |    32 |   19.81220167600192 | wavemodel.py |
| 10359.660384716142 |  OH |    1 |    32 |  1.3777931826892007 | wavemodel.py |
| 10378.563483109981 |  OH |    1 |    32 |   66.19080824360628 | wavemodel.py |
| 10402.235900945261 |  OH |    1 |    32 |    25.2174034105686 | wavemodel.py |
| 10424.073741180015 |  OH |    1 |    32 |   64.52622384412945 | wavemodel.py |
| 10434.266028328382 |  OH |    1 |    32 |  0.4105604070974853 | wavemodel.py |
| 10456.229525645602 |  OH |    1 |    32 |   17.98634592401653 | wavemodel.py |
| 10474.700055774782 |  OH |    1 |    32 |    44.8413251495798 | wavemodel.py |
| 10514.891980738375 |  OH |    1 |    32 |   9.475033232784657 | wavemodel.py |
| 10530.541924424579 |  OH |    1 |    32 |  20.226922049833693 | wavemodel.py |
|   10578.2990374681 |  OH |    1 |    32 |  3.7794792758265556 | wavemodel.py |
|   10591.6615775696 |  OH |    1 |    32 |   6.572766482074857 | wavemodel.py |
| 10646.591159453246 |  OH |    1 |    32 |  1.1903966349919186 | wavemodel.py |
|  10658.12865230098 |  OH |    1 |    32 |  1.8072573316377558 | wavemodel.py |
| 10689.765161971125 |  OH |    1 |    32 |   0.557325742749464 | wavemodel.py |
| 10693.876314392455 |  OH |    1 |    32 |  2.4720166212481134 | wavemodel.py |
| 10698.016382634089 |  OH |    1 |    32 |  1.4091208732813207 | wavemodel.py |
| 10702.975961179885 |  OH |    1 |    32 |   8.980431012445557 | wavemodel.py |
| 10709.341685474865 |  OH |    1 |    32 |   4.578239316012754 | wavemodel.py |
| 10716.615656998883 |  OH |    1 |    32 |   22.82502382058682 | wavemodel.py |
| 10726.288942289897 |  OH |    1 |    32 |   10.81018558456663 | wavemodel.py |
| 10729.744624870676 |  OH |    1 |    32 |  0.3603825842046837 | wavemodel.py |
| 10734.654028636207 |  OH |    1 |    32 |   41.00056362508975 | wavemodel.py |
|  10749.09593832517 |  OH |    1 |    32 |  17.664901351388828 | wavemodel.py |
|  10756.86605586469 |  OH |    1 |    32 |  48.855559127846895 | wavemodel.py |
| 10778.011287630956 |  OH |    1 |    32 |  19.410668882217685 | wavemodel.py |
| 10837.219151619454 |  OH |    1 |    32 |  138.54089265469867 | wavemodel.py |
| 10843.765940146568 |  OH |    1 |    32 |   4.525442593241632 | wavemodel.py |
| 10847.663630216472 |  OH |    1 |    32 |   45.42741751238177 | wavemodel.py |
| 10857.762674494206 |  OH |    1 |    32 |  1.6271780336263806 | wavemodel.py |
| 10862.602738733765 |  OH |    1 |    32 |  16.883182874784808 | wavemodel.py |
| 10877.088306078691 |  OH |    1 |    32 |   0.632952947345839 | wavemodel.py |
| 10882.268614700573 |  OH |    1 |    32 |   4.821411580266594 | wavemodel.py |
| 10901.665324516196 |  OH |    1 |    32 |  29.979811782609072 | wavemodel.py |
| 10906.809121548928 |  OH |    1 |    32 |  1.2105242707550392 | wavemodel.py |
| 10929.422856849338 |  OH |    1 |    32 |  100.04427132031337 | wavemodel.py |
|  10954.34812457615 |  OH |    1 |    32 |  37.499280257652416 | wavemodel.py |
| 10978.336620272197 |  OH |    1 |    32 |  106.46374270244351 | wavemodel.py |
| 11012.308852139075 |  OH |    1 |    32 |  28.877610421281485 | wavemodel.py |
| 11032.835469062826 |  OH |    1 |    32 |   69.13196526602749 | wavemodel.py |
| 11075.489477948324 |  OH |    1 |    32 |  16.833676502989295 | wavemodel.py |
